"","10_WT_B_S18","11_WT_C_S19","12_WT_D_S20","13_TRMB_A_S21","16_TRMB_D_S24","1_WT_A_S9","2_WT_B_S10","3_WT_C_S11","4_WT_D_S12","5_TRMB_A_S13","7_TRMB_C_S15","9_WT_A_S17","aBWT_C_noglu_24_S20_SP","aCWT_D_noglu_24_S21_SP","RWT_A_glu_24_S41_S1","SWT_B_glu_24_S16_SP","TWT_C_glu_24_S17_SP","UWT_D_glu_24_S46_S1","ZWT_A_noglu_24_S47_S1"
"HAH_RS01095",2991,3946,2082,1398,1754,5499,5960,4872,3820,5475,5593,3077,4832,6375,4585,6983,8165,9500,4724
"HAH_RS01100",2105,2389,1551,1016,1221,3541,2799,2025,2287,2556,2849,2457,4279,5100,4152,4539,6190,8297,4022
"HAH_RS01105",10803,13633,6686,4008,4882,5400,3847,3438,3024,3156,4103,12066,25749,20254,18411,16836,12748,8320,21002
"HAH_RS01110",239262,273297,216361,585993,736956,133592,69610,52750,100313,124247,67764,285152,71564,467800,124049,285437,76051,154167,91416
"HAH_RS01115",1415,1230,1085,416,355,2537,1411,906,1460,1269,1114,1743,2923,4594,2718,1749,5838,8977,2838
"HAH_RS01120",429346,383580,359169,786108,772022,249563,138254,95918,189216,174685,136001,542994,1054229,2050893,805880,834230,631787,1018506,937461
"HAH_RS01125",10205,1977,7049,4357,3566,8899,2282,2232,6929,2444,3194,5455,6101,4262,7807,31701,20890,10525,16685
"HAH_RS01130",440,392,313,98,93,991,806,647,562,763,990,495,229,355,220,404,522,629,352
"HAH_RS01135",3070,3157,1899,1165,1388,6783,6808,4931,4004,6978,6666,3431,3553,4880,3223,4873,6127,6766,4156
"HAH_RS01140",8862,10779,7158,9982,9652,9439,7819,5901,5784,8330,6622,9979,24737,22112,11466,12082,16728,19807,17732
"HAH_RS01145",3943,5011,3484,4757,4619,3323,2449,2211,1804,2807,2399,4615,12335,10400,4713,4685,6518,7115,9495
"HAH_RS01150",27267,38233,19514,22158,23374,22120,15915,13350,10302,19724,18250,31558,54480,41525,25882,22018,33144,35110,38306
"HAH_RS01155",4810,5652,3623,3844,4088,6179,5057,4224,3433,5523,5212,5198,7315,6285,4132,4781,6297,7159,6013
"HAH_RS01160",3791,5083,3317,4467,4680,5226,4609,3298,2678,5099,4375,4232,7609,6069,3263,3633,4543,5146,5810
"HAH_RS01165",908,1129,780,649,679,2208,2229,1481,1492,2291,2069,1112,1794,2148,1197,1817,2098,2289,1908
"HAH_RS01170",909,1048,827,469,464,1527,1417,963,971,1323,1155,1094,1461,1641,1053,1816,1564,1587,1466
"HAH_RS01175",203,248,180,118,149,282,277,189,196,305,234,225,545,505,390,537,543,464,477
"HAH_RS01180",823,766,632,583,723,1111,767,488,474,586,695,861,1996,1545,2211,2492,2581,1994,1821
"HAH_RS01185",1102,1138,835,514,551,1429,1251,1061,893,1056,1524,1235,3176,2519,4176,5113,5565,4451,2989
"HAH_RS01190",4224,4551,3500,5193,6199,8723,6925,4807,4991,7303,8101,5528,11971,14474,6120,8234,11298,13661,13209
"HAH_RS01195",1278,1213,695,747,826,2142,1994,1599,1468,1849,2113,1408,1380,1759,1481,2419,2611,2600,1496
"HAH_RS01200",586,286,327,202,197,662,547,379,546,467,578,500,745,660,586,715,876,930,905
"HAH_RS01205",4176,4885,3301,4281,4538,5491,5212,4028,3369,4568,5112,4762,8469,8848,6324,8612,7449,6961,7741
"HAH_RS19815",5925,6634,4803,7778,6568,5863,5753,4970,3434,4334,5261,6379,9372,8092,8684,10500,9896,7944,8714
"HAH_RS01210",396,537,318,292,328,741,583,458,490,587,559,438,711,799,699,994,1218,1089,738
"HAH_RS01215",5855,5800,4779,10898,7873,7964,7515,5545,4670,7136,7161,6977,6645,7348,5511,7256,7963,8670,7564
"HAH_RS15120",722122,735515,555169,875620,966535,749739,607900,401003,460013,593111,521706,831963,1118061,1026023,670829,926737,816915,802108,796144
"HAH_RS01220",1684,1841,1692,999,977,3809,3054,2627,2171,3055,2675,2059,4450,4978,4624,6436,10055,11795,4183
"HAH_RS01225",3138,4118,2745,2687,2910,5851,5335,4409,3430,5345,5859,3658,8139,8175,5485,7905,9379,9312,7409
"HAH_RS01230",19528,22821,13629,14852,17963,25026,20568,14075,15714,21612,20267,22514,39014,34863,33063,37426,37267,29637,31674
"HAH_RS01235",23499,31849,18470,20857,25733,33687,27363,19432,20196,29013,26062,28476,53267,46085,41824,47468,47973,36895,41705
"HAH_RS01240",37398,51235,28112,32300,40239,59306,47308,32119,32691,52009,45236,45203,83003,74548,68220,75602,75561,61357,66145
"HAH_RS01245",33827,45187,24911,25595,30553,52294,41373,27512,29186,45389,40275,40564,72057,63627,60549,66033,69203,54792,59043
"HAH_RS01250",1171,1505,779,381,435,1406,1265,1297,929,1337,1727,1240,3392,2085,2597,3543,2195,1364,3102
"HAH_RS01255",33502,45171,25190,43606,49589,54302,42015,29109,29866,45433,41631,40278,69092,59241,58975,69085,67218,50701,53593
"HAH_RS01260",28316,38691,21840,37344,41037,50618,39125,25689,26069,42583,39489,33850,61812,53873,56275,67914,64997,49190,46088
"HAH_RS01265",5669,6839,4414,6884,7819,9715,6652,4580,4820,7304,6653,6336,13169,10779,12218,12749,14016,10434,10268
"HAH_RS01270",13738,16175,10680,15810,16822,22337,17714,11154,12516,18972,16437,15836,30844,26507,29207,33962,33245,24353,24172
"HAH_RS01275",32652,42678,24720,35314,38160,57867,46842,30077,27607,51220,37857,39504,64904,55918,57812,72848,68084,50771,48794
"HAH_RS01280",8309,12560,6672,8822,9939,17128,13084,8982,7843,14369,11810,10603,14871,13167,14332,18157,18504,12975,11904
"HAH_RS01285",30877,40068,23394,27833,31854,58664,48903,32100,29625,52700,38100,38315,54829,48334,52149,70328,65257,46391,41893
"HAH_RS01290",783,982,558,249,223,1877,1899,1292,1172,1722,1852,900,1589,1139,2504,3247,2949,1687,1122
"HAH_RS01295",39921,38314,30018,53804,61005,55913,50744,35919,36725,51641,46356,48606,57684,55193,48815,63372,69118,67104,46481
"HAH_RS01300",8335,10163,6244,14047,18197,15829,11515,8555,6911,10921,10494,10645,12963,13491,14082,14400,18458,20372,12675
"HAH_RS01305",28040,35296,21897,16799,19185,46517,39146,27853,21078,37492,23568,33844,78417,66874,50685,61193,56602,44616,61550
"HAH_RS01310",83852,129105,55673,69545,78333,151524,123006,87469,82104,128958,131914,104438,214985,203448,179559,209717,205218,169936,179153
"HAH_RS01315",11366,16618,7851,7913,9880,21140,16711,11897,9756,16322,14590,14598,31153,28659,28360,30519,31874,26182,27416
"HAH_RS01320",14598,19906,9132,8128,9488,23621,19769,12977,13371,21020,18416,17565,33722,32637,31470,35321,35887,29291,30018
"HAH_RS01325",3834,4501,2582,2469,2986,4163,4272,3391,2736,3808,4245,3795,9675,9015,6633,8512,7159,5613,8479
"HAH_RS01330",18982,20568,17476,31082,35618,21865,19593,15348,13173,19817,24060,22705,91785,73100,55565,69777,52761,40180,72560
"HAH_RS01335",568,707,390,291,316,510,419,339,435,417,497,653,1214,985,894,976,926,738,898
"HAH_RS01340",542,867,483,327,406,543,556,439,325,518,531,658,1758,1263,1078,1150,792,561,1226
"HAH_RS01345",10140,15419,7972,3767,4404,7049,5990,4562,4346,5534,5972,11495,27855,22300,20517,21571,16935,11624,20078
"HAH_RS01350",515,455,576,617,513,863,942,621,658,1005,1121,582,1034,1060,786,1496,1284,1163,1116
"HAH_RS01355",189,218,85,69,88,94,106,116,50,72,116,167,360,362,50,100,162,156,296
"HAH_RS01360",807,1094,459,440,466,556,608,692,300,458,719,915,1900,2213,279,550,910,911,1729
"HAH_RS01365",367,402,359,267,299,245,293,368,173,237,367,415,672,707,470,712,530,422,607
"HAH_RS01370",1547,2300,1135,1807,2199,1255,1317,1628,650,1200,1939,1721,4437,4283,2525,3587,2677,1850,4201
"HAH_RS01375",445,484,376,321,350,405,410,446,236,329,447,469,1002,1051,955,1375,1024,852,790
"HAH_RS01380",573,595,548,564,650,553,621,755,327,497,735,551,1150,997,927,1450,1181,915,979
"HAH_RS01385",2218,3102,1990,3238,3833,2748,2966,3450,1691,2686,4061,2620,5360,4935,5162,7807,7029,5791,4242
"HAH_RS01390",418,477,374,639,698,547,616,605,305,488,702,455,917,786,1049,1648,1209,1021,728
"HAH_RS01395",2127,2464,1685,1698,1885,2549,2455,2156,1575,2408,2440,2419,4606,3422,3270,4246,3933,3560,3374
"HAH_RS01400",3291,3633,2131,7441,7414,5225,4201,2641,3100,4447,4538,4073,9652,8746,9121,10806,11091,10812,8661
"HAH_RS01405",69,61,50,116,129,88,91,66,79,92,108,84,134,132,141,193,196,157,132
"HAH_RS01410",901,977,637,704,701,1380,1561,1021,977,1609,1508,979,1688,1631,1075,1791,1466,1095,1545
"HAH_RS01415",1126,1483,677,638,830,1928,1788,1223,1072,1713,1752,1256,2320,2141,1765,2607,2251,1909,1895
"HAH_RS01420",1554,2000,1395,915,942,2511,2378,1724,1551,2356,2119,1775,3237,3194,2350,3002,3091,2988,2905
"HAH_RS01425",1253,1566,914,716,733,1481,1376,1178,1064,1235,1420,1293,2671,2654,2230,3276,2742,2064,1975
"HAH_RS01430",1189,1281,734,719,918,1435,1308,864,961,1259,1317,1282,2905,2464,1858,2540,2291,1945,2366
"HAH_RS01435",8196,9014,5136,7285,8799,9046,7497,4607,5628,7809,7250,9417,14717,15296,8939,10677,12298,12324,15103
"HAH_RS01440",5807,8773,3586,4412,5018,8676,7838,5787,4866,7327,7015,6777,12123,11293,10341,12130,12356,10851,11232
"HAH_RS01445",2088,2478,1852,2089,2282,3814,3968,2794,2584,4201,4051,2404,5481,5778,2225,3318,3459,3725,5166
"HAH_RS01450",894,880,734,722,882,1341,1493,829,978,1467,1221,1018,2018,2342,906,1314,1445,1475,2131
"HAH_RS01455",2812,4032,2082,1761,1977,5551,5291,3678,3532,5507,5024,3164,7422,7433,4250,5857,6310,5861,6770
"HAH_RS01460",1611,2042,1321,655,738,1417,1343,1102,856,1205,1512,1667,7037,4651,4037,4312,3305,2546,5237
"HAH_RS01465",111,133,60,21,14,253,207,158,118,187,247,119,116,150,168,235,321,360,178
"HAH_RS01470",4651,5898,3222,2287,3009,9015,7468,4464,5254,7580,7386,5862,8184,9550,6296,7138,8766,10040,8306
"HAH_RS01475",4713,6604,3389,2503,2994,8916,7603,5154,5219,7903,8030,5526,9627,10987,7507,8831,10441,11596,9452
"HAH_RS01480",909,896,724,773,758,1059,788,631,600,740,798,970,1472,1484,1229,1435,1351,1390,1323
"HAH_RS01485",55,64,52,37,42,69,65,53,55,48,70,60,129,138,131,146,214,224,134
"HAH_RS01490",3874,5746,3934,8939,9683,6552,5905,4265,3654,6307,6267,4500,13973,10894,7412,8858,8238,6594,10371
"HAH_RS01495",745,786,756,1524,1531,986,923,592,686,934,865,790,2466,1690,1164,1384,1246,914,1720
"HAH_RS01500",2070,3118,2026,4928,5563,3570,3397,2259,1847,3436,2768,2533,6910,5438,3442,4057,3746,2943,5354
"HAH_RS01505",1647,1978,1474,3030,3403,2597,2327,1656,1397,2466,1805,1794,4266,3156,2219,2816,2335,1673,3332
"HAH_RS01510",462,470,258,206,219,364,345,348,250,379,441,445,1119,854,821,857,627,398,987
"HAH_RS01515",286,253,222,256,432,457,381,218,313,400,325,369,385,486,261,319,408,498,453
"HAH_RS01520",593,636,382,161,213,460,409,320,329,381,364,543,1150,1208,609,869,716,601,952
"HAH_RS01525",3294,4104,2809,2351,2494,4445,4700,3186,2962,4483,4076,3670,9297,8768,4566,6123,5502,5101,8086
"HAH_RS01530",590,726,294,975,968,856,730,402,519,653,714,702,1135,1242,1345,1535,1615,1634,1044
"HAH_RS01535",697,995,334,895,946,1198,918,616,666,909,746,838,1300,1426,1390,1698,1897,1889,1195
"HAH_RS01540",188,339,119,51,67,242,186,200,186,174,224,231,1366,1006,1372,1556,899,859,895
"HAH_RS01545",4829,5857,2959,2234,2710,8877,7567,4621,6348,7936,6537,6045,6472,7439,3964,5246,6027,6625,6619
"HAH_RS01550",2813,4130,1849,813,932,3607,3153,2380,2007,2875,2295,3035,7020,7113,5180,5980,5773,5060,5741
"HAH_RS01555",1061,1115,772,592,648,1493,1355,1013,961,1159,1360,1154,2663,2996,1704,2174,2638,2863,2661
"HAH_RS01560",2057,2188,1439,1220,1399,4567,4760,3023,3663,4887,4710,2523,5155,5865,2632,3575,4426,5240,5453
"HAH_RS01565",11052,13837,6993,6801,7572,14275,13063,8593,8727,12141,14132,12762,23186,22989,14845,15811,18298,13646,19754
"HAH_RS01570",18,9,8,6,8,7,8,8,6,5,4,8,72,45,36,36,55,44,80
"HAH_RS01575",1698,2350,2053,9821,12328,17474,14779,7426,6973,14475,7769,4007,4330,3363,3759,5041,3875,3826,3268
"HAH_RS01580",2582,3948,1996,13055,13921,18627,16849,8149,10793,18125,15250,4599,4544,3725,3856,5205,4316,3931,3111
"HAH_RS01585",4100,4369,1978,1761,1942,8811,8057,4815,5776,6299,10728,5655,26438,20543,23389,21894,28313,36168,21716
"HAH_RS01590",1354,1490,1095,990,1045,2245,1929,1320,1481,1996,1830,1658,3096,3264,1769,2211,2268,2364,3033
"HAH_RS19820",101,66,188,95,72,84,58,49,46,55,64,85,88,80,69,112,97,75,111
"HAH_RS01595",124,110,92,44,46,50,59,83,53,58,73,104,454,264,311,378,174,74,377
"HAH_RS01600",200,272,188,118,153,140,151,208,87,133,252,243,1925,1132,1453,1514,965,467,1410
"HAH_RS01605",88,96,52,27,43,118,105,96,67,112,178,96,310,238,302,488,427,322,173
"HAH_RS01610",316,341,236,161,147,373,344,263,288,343,281,314,716,745,547,673,709,773,647
"HAH_RS01615",12320,12758,10319,12655,11990,14633,12442,9976,8984,11773,14800,14883,17950,12906,17389,20910,20124,16124,17277
"HAH_RS01620",877,728,940,420,410,1027,1252,1248,766,938,1199,1022,2295,2026,1774,3499,2829,1987,2149
"HAH_RS01625",83,53,58,19,23,82,76,70,38,51,98,65,307,203,198,317,266,239,313
"HAH_RS01630",3082,3589,2725,3406,3453,6269,6025,4302,4012,6372,5933,3781,6137,6818,3577,4928,5714,5957,5995
"HAH_RS01635",2648,2892,2007,2536,2442,5219,4878,3182,3468,5205,4585,3043,4951,5453,2793,3494,4540,5089,5350
"HAH_RS01640",2302,2108,1968,1843,1761,4466,4540,2656,2838,4375,2773,2729,4291,4420,2485,3561,4073,4574,4070
"HAH_RS01645",1367,2878,545,230,256,1338,1138,886,693,1005,945,1458,10089,7337,9146,10063,8114,4853,7134
"HAH_RS01650",41,83,42,14,25,37,37,39,34,33,33,73,207,153,138,147,165,134,207
"HAH_RS01655",94,83,66,26,53,49,76,68,48,52,58,89,257,240,235,252,224,172,211
"HAH_RS01660",4113,5194,3258,3263,3517,7457,7216,4731,4625,7164,5201,4944,9991,10033,5043,6688,6873,7240,8705
"HAH_RS01665",315,325,323,299,327,630,582,482,400,614,644,375,573,613,511,553,696,798,667
"HAH_RS01670",1595,1359,1111,1409,1654,2645,1994,1430,1382,2135,1890,1821,1460,2000,1356,1666,1889,2337,1664
"HAH_RS01675",4660,8154,2037,986,1240,5460,4077,3261,2778,3290,5171,5179,11896,13788,18037,17984,17595,17201,10769
"HAH_RS01680",3887,7289,1800,979,1237,4906,3587,2783,2404,2967,4299,4480,10701,12613,16277,15700,16099,15560,9563
"HAH_RS01685",13228,17830,8439,8523,9085,26088,24148,13817,16003,25673,20941,16553,17267,19082,13251,19099,21097,21378,17076
"HAH_RS01690",2957,4270,2251,1211,1109,7718,6282,6524,4235,4821,5904,4015,7630,8966,21037,27620,33104,22447,6411
"HAH_RS01695",5177,5306,3334,3676,3654,5502,4958,3366,3602,4875,4819,5720,7188,6650,6978,8004,7545,6994,6339
"HAH_RS01700",291,386,148,148,156,354,315,219,232,287,292,338,1013,883,517,627,632,594,865
"HAH_RS01705",223,340,134,54,56,278,234,236,147,182,229,233,499,559,982,925,867,816,456
"HAH_RS01710",4109,5368,3749,4670,5005,7260,6473,4874,4123,6425,7230,4984,10570,9704,7824,10455,9267,8196,9653
"HAH_RS01715",375,488,261,204,243,559,530,349,333,534,438,406,3056,2186,6654,6173,4485,2068,1868
"HAH_RS01720",211,272,138,148,143,295,287,201,165,242,270,205,1865,1191,4520,3743,2916,1485,1139
"HAH_RS01725",162,157,106,92,94,184,201,153,104,193,181,169,1936,1195,4658,4229,3298,1270,1147
"HAH_RS01730",106,97,75,66,68,151,105,121,85,108,109,86,1490,980,4435,3690,2808,1157,855
"HAH_RS01735",178,177,117,52,55,197,161,114,162,149,167,178,3224,2173,9123,10665,8554,3953,1926
"HAH_RS01740",112,128,82,61,98,208,152,144,110,166,153,156,4929,3244,12425,14366,11527,5266,2739
"HAH_RS01745",178,277,100,77,102,283,216,176,215,237,213,207,5327,3403,12587,15583,12022,5307,2919
"HAH_RS01750",84,105,63,51,67,138,105,133,84,123,117,109,7990,5069,19920,23279,18788,7759,4139
"HAH_RS20120",8,8,10,9,11,18,31,25,10,15,24,9,358,160,749,906,706,322,190
"HAH_RS01760",191,207,138,124,136,311,258,221,172,237,330,230,380,451,497,613,726,675,393
"HAH_RS01765",319,322,228,148,148,410,351,266,286,318,428,363,4512,2819,7114,8621,7062,3302,2882
"HAH_RS01770",317,378,220,142,197,464,435,353,303,447,478,344,3094,1999,5871,7493,5954,2930,1946
"HAH_RS01775",127,92,64,51,59,107,122,87,93,97,146,117,1529,915,3368,4603,3339,1220,858
"HAH_RS01780",137,215,77,96,100,236,201,150,121,185,175,172,900,654,1847,1710,1494,758,601
"HAH_RS01785",108,123,67,55,72,134,129,119,103,121,107,112,1280,846,2484,2570,2163,935,758
"HAH_RS01790",52,72,27,32,37,92,55,46,36,57,94,78,2252,1153,4747,5090,3984,1536,1308
"HAH_RS01795",166,198,149,95,108,420,402,383,252,345,439,235,318,414,298,534,565,550,388
"HAH_RS01800",1027,1115,736,804,800,1949,1750,1206,1267,1721,1706,1208,1141,1279,1187,1493,1563,1581,1336
"HAH_RS01805",2419,2660,1852,1991,1982,4754,4439,2853,2819,4298,4224,2812,3588,3632,3100,4248,4080,4058,3648
"HAH_RS01810",56,60,49,54,52,62,64,39,38,49,79,52,383,265,200,242,191,115,318
"HAH_RS01815",195,234,153,147,119,185,197,170,151,186,225,195,444,405,373,447,355,255,376
"HAH_RS01820",281,86,121,181,164,103,101,94,154,94,81,372,213,1240,122,112,103,185,1140
"HAH_RS01825",463,364,451,269,243,245,211,152,180,203,196,450,604,472,305,438,448,437,527
"HAH_RS01830",5392,4908,3807,3845,4455,8512,4950,2648,3618,4385,4312,5440,5261,4436,4683,5235,8079,7478,7087
"HAH_RS01835",13132,13471,8994,9664,10447,18656,15740,9440,12478,16092,15028,15381,15611,15408,13082,16195,20363,21280,16789
"HAH_RS01840",23943,27526,15757,15440,16124,43930,43756,28698,30897,45615,43065,29104,23210,23473,24628,35349,40539,40213,24166
"HAH_RS19825",15,15,9,14,11,13,5,12,5,6,14,19,79,47,49,59,51,36,60
"HAH_RS19830",367,512,329,203,259,558,627,587,334,513,715,402,1153,849,1381,1595,1217,826,1180
"HAH_RS01845",542,487,401,322,326,820,565,390,464,451,572,439,1517,1103,1621,1600,2501,1723,1783
"HAH_RS01850",6400,7963,4612,4428,4591,12074,9449,6466,7447,9748,11371,7893,16726,15570,12802,14159,19098,18282,15982
"HAH_RS01855",15353,21472,10779,11549,13015,34221,26239,19145,19800,28527,30315,19785,34206,35660,24485,31312,38279,38775,32284
"HAH_RS19070",397,395,307,241,217,584,706,657,426,631,809,436,552,525,565,975,774,588,543
"HAH_RS01860",197,254,148,126,145,423,330,353,251,319,392,276,380,509,383,505,542,648,433
"HAH_RS01865",2130,2365,1379,1978,2320,3133,2734,1785,2305,2809,2522,2685,4214,4829,2915,3746,4365,4333,3885
"HAH_RS01870",140,181,165,156,196,321,306,263,173,312,299,164,352,358,388,524,576,543,389
"HAH_RS01875",1430,1797,1530,1959,2071,4160,3946,2785,2206,4165,3663,1708,4465,4810,3806,5354,5116,4889,4267
"HAH_RS01880",5592,6770,4544,4587,5012,8646,7216,5125,5290,7413,7661,6320,14368,13416,7933,9701,10191,10536,12384
"HAH_RS01885",5718,6323,3745,2204,2320,4479,3676,2640,3093,3398,3627,6271,8574,8189,5581,6995,6413,5396,7571
"HAH_RS01890",882,966,612,608,637,1268,1176,862,884,1207,1088,1066,2046,2210,1052,1385,1827,2012,1898
"HAH_RS01895",642,934,419,562,596,1333,1148,976,783,1172,1070,811,1776,1885,920,1097,1633,1988,1740
"HAH_RS01900",655,842,424,518,595,935,726,588,585,715,726,688,1883,1993,908,892,1334,1633,1845
"HAH_RS01905",219,162,158,384,339,91,103,84,65,112,92,195,1164,972,128,141,184,147,1043
"HAH_RS01910",149,158,153,320,396,64,60,48,38,61,87,212,1088,963,113,111,118,97,1030
"HAH_RS01915",338,239,226,188,187,158,129,106,128,125,128,351,797,1207,143,212,254,258,928
"HAH_RS01920",448,465,380,438,612,263,276,317,175,234,265,467,2010,1761,717,1010,682,447,1820
"HAH_RS01925",362,319,271,210,242,289,306,196,164,261,281,353,1145,910,612,711,610,522,943
"HAH_RS01930",115,114,157,103,101,95,116,71,89,105,129,122,422,290,216,246,206,144,373
"HAH_RS01935",2223,2593,1901,1757,2347,3736,3029,2117,1614,2889,2145,2415,5716,5073,3145,3868,3342,2682,5188
"HAH_RS01940",138,188,83,31,42,157,131,140,119,103,123,134,712,595,650,814,558,433,573
"HAH_RS01945",795,1509,453,338,451,944,701,596,489,601,652,918,3662,3168,4391,4107,3555,2688,2784
"HAH_RS01950",1520,1855,1054,465,567,2181,1906,1412,1359,2141,1815,1785,2195,2370,1139,1491,1575,1491,2040
"HAH_RS01955",281,272,184,158,170,205,276,221,136,197,248,242,831,637,413,661,409,273,719
"HAH_RS01960",15,13,7,4,3,15,9,17,6,11,10,8,1136,642,1824,2504,1479,481,572
"HAH_RS01965",1763,2163,1304,1231,1410,3114,3131,2026,1944,3097,2976,2119,2516,2990,1786,2437,2670,2844,2722
"HAH_RS01970",926,1131,861,909,1124,1667,1558,1123,1128,1612,1590,1050,1763,2015,1241,1317,1747,1844,2076
"HAH_RS01975",1934,2201,1556,1304,1481,2961,2992,2424,2249,2877,3017,2015,3114,3426,2386,3367,3477,3242,3293
"HAH_RS01980",3280,3799,2504,1476,1588,4081,4160,3587,2976,3929,4532,3168,6065,5374,4260,6089,5002,3756,5295
"HAH_RS01985",27298,41972,19350,23082,28694,28177,26014,20702,16658,25216,29465,31562,59731,43892,40571,44915,31389,17523,40808
"HAH_RS01990",21334,31718,15232,16899,20541,23512,22174,17836,14656,21757,25181,23858,46598,32815,33823,36622,26644,16291,32432
"HAH_RS01995",11028,11832,9559,10615,12756,13768,13983,9449,9225,13548,13529,11481,16059,16772,8809,11473,12764,13387,17488
"HAH_RS02000",3662,4242,3477,3222,3729,5324,4515,3031,3045,4266,5629,4299,15457,13727,7276,8659,10399,12044,16087
"HAH_RS02005",5424,6123,4056,5031,5718,8117,6264,3950,4706,6873,5470,6578,8143,8871,5316,6273,6246,6781,8533
"HAH_RS02010",6779,7828,4450,5673,6672,8166,8019,4742,5841,7699,7535,7807,10844,11080,8358,9122,11062,10540,10349
"HAH_RS02015",59938,74066,35600,49942,60541,86527,89333,49929,61052,89403,82304,68223,79259,88025,57616,72462,77021,70451,77531
"HAH_RS02020",23812,26934,13748,23455,29582,32062,21726,13979,19963,23838,21362,28966,40963,51515,25457,31020,45186,47643,47764
"HAH_RS02025",20041,30374,11538,20872,24960,30692,23097,15680,18408,26448,22553,24975,37361,44313,23175,30546,37716,39392,41220
"HAH_RS02030",46586,67187,25390,47537,57345,70554,56059,35413,43919,63198,52618,57515,78808,96834,47968,62571,77635,80107,88369
"HAH_RS02035",8208,12666,4673,8585,10492,13401,9696,6411,7462,11218,8854,10192,15140,17671,8832,11137,14682,14281,16897
"HAH_RS02040",69537,106502,38592,71272,84387,108260,84926,54766,64859,99514,77553,87360,125856,151282,73325,100650,119584,124434,141158
